VendorNumber,VendorName,Brand,Description,Volume,TotalPurchaseQuantity,ActualPrice,PurchasePrice,TotalPurchaseDollars,TotalSalesDollars,TotalSalesQuantity,AverageSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,1750.0,145080,36.99,26.27,3811251.600000111,5101919.510000559,142049.0,672819.3099998693,260999.2000000145,68601.68000000001,-2520583.6899996637,0.2529769251495515,0.9791080783016268,1.338646734841754
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,1750.0,164038,28.99,23.19,3804041.2199999536,4819073.490000401,160247.0,561512.3699999085,294438.6600000097,144929.24,-2789008.9499995066,0.21062809523586715,0.9768895012131336,1.2668299871893762
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,1750.0,187407,24.99,18.24,3418303.680000034,4538120.600000365,187140.0,461140.1499998849,343854.07000000787,123780.21999999996,-2298486.759999704,0.2467578583081817,0.9985752933454992,1.3275943347433423
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,1750.0,201682,22.99,16.17,3261197.94000002,4475972.880000464,200412.0,420050.0099998967,368242.8000000149,257032.0700000001,-2046422.999999576,0.2713990840803124,0.9937029581221924,1.3724934709116234
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,1750.0,138109,29.99,21.89,3023206.0099999965,4223107.620000436,135838.0,545778.2799998876,249587.83000001253,257032.0700000001,-1823304.399999557,0.28412764200414,0.983556466269396,1.3968970708683002
480,BACARDI USA INC,3858,Grey Goose Vodka,750.0,138809,23.99,17.77,2466635.930000039,3383912.4000005093,141860.0,446932.08999989054,111699.18999999703,89286.26999999999,-1549359.4599995683,0.2710698036983264,1.0219798428055815,1.3718734730343671
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,1750.0,70783,39.99,30.76,2177285.0800000825,2773367.729999988,69627.0,614529.3399998964,127931.66999998408,123780.21999999996,-1581202.4300001771,0.21493098212399983,0.9836683949535906,1.2737733590678364
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,1750.0,161386,17.99,12.94,2088334.8399999856,2592041.349999925,148265.0,292586.2899999302,272422.6000000083,257032.0700000001,-1584628.3300000466,0.19432811517453377,0.9186980283295948,1.2412000701956123
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,1750.0,91835,27.99,20.73,1903739.5499999449,2640491.190000111,90481.0,503661.01999989,166244.44000000262,257032.0700000001,-1166987.9099997785,0.27902067720973345,0.9852561659498013,1.3870023291790032
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,1750.0,108866,21.99,16.29,1773427.139999997,2435393.38999984,107061.0,426902.7799998908,196707.35000000568,123880.97,-1111460.8900001545,0.2718108099980867,0.9834199842007606,1.373269493326827
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,750.0,93205,22.99,16.42,1530426.1000000215,2148965.529999716,91247.0,436011.6399998929,71840.57000000637,123780.21999999996,-911886.6700003272,0.287831247809627,0.9789925433184916,1.4041615795755742
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,1750.0,66942,29.99,22.38,1498161.9600000305,1840615.669999787,61433.0,442856.1999999129,112875.189999984,257032.0700000001,-1155708.250000274,0.18605389249989165,0.917704878850348,1.2285825692702472
480,BACARDI USA INC,2663,Dewars White Label,1750.0,69001,29.99,21.42,1478001.420000022,2189368.779999833,70122.0,495957.82999989664,128839.07999998712,89286.26999999999,-766634.060000211,0.3249189293728146,1.01624614136027,1.4813035700600343
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,750.0,215668,10.99,6.77,1460072.3599999887,2326007.779999907,214238.0,189608.95999997697,24083.770000001787,17587.59,-594136.9400000703,0.3722839740458448,0.9933694382105828,1.593077058180819
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,750.0,42951,48.99,33.81,1452173.3099999838,2009508.6099997887,41639.0,662320.0399999034,32783.0900000035,68054.70000000003,-894838.0100001788,0.2773490480341179,0.969453563362902,1.383793928838846
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,1750.0,31596,59.99,44.77,1414552.9200000092,1739044.279999906,28372.0,507291.4299999482,52133.71999999593,257032.0700000001,-1090061.5600001125,0.18659177556992065,0.897961767312318,1.229394994992407
17035,PERNOD RICARD USA,5364,Kahlua,1750.0,60645,29.99,23.07,1399080.1500000013,1844950.2899997348,59771.0,504735.0599998959,109817.0699999855,123780.21999999996,-953210.0100002678,0.24167054387129186,0.9855882595432436,1.3186880608660865
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,1750.0,64249,33.99,21.73,1396130.770000004,2068091.159999784,65184.0,494487.6499999042,119767.48999998724,257032.0700000001,-724170.3800002239,0.32491816753370306,1.0145527556849134,1.4813018983886288
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,1750.0,47546,39.99,28.88,1373128.4800000344,1884307.3399997675,47966.0,596574.929999897,88129.79999998568,257032.0700000001,-861949.6200003016,0.2712821041177901,1.0088335506667228,1.3722731466466416
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,1750.0,79078,21.99,16.66,1317439.4799999988,1635666.5799999442,79042.0,121065.2500000112,145234.9500000005,257032.0700000001,-999212.3800000534,0.19455499298638004,0.99954475328157,1.241549691527345
480,BACARDI USA INC,3348,Bombay Sapphire Gin,1750.0,57349,29.99,22.38,1283470.6200000057,1766391.119999798,56888.0,460087.9499999081,104524.5399999876,89286.26999999999,-800550.1200002134,0.27339386760495465,0.9919614988927444,1.3762614371334734
480,BACARDI USA INC,3857,Grey Goose Vodka,1750.0,33388,49.99,38.27,1277758.760000023,1699669.5499998508,32945.0,589137.7899999224,60533.429999990025,89286.26999999999,-855847.9700001953,0.2482310693863197,0.9867317599137416,1.3301959675078416
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,1750.0,61936,24.99,19.52,1208990.7200000167,1528730.2699997823,61323.0,392353.53999991255,112669.44999998584,18544.49,-889251.1700002511,0.20915367234784402,0.990102686644278,1.2644681590275244
480,BACARDI USA INC,126,Grey Goose Vodka,1000.0,59878,32.99,20.14,1205942.920000007,1736610.8699998795,58013.0,294049.48999996006,60913.65000000229,89286.26999999999,-675274.9700001336,0.3055767755270986,0.9688533351147331,1.4400440030775836
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,1750.0,101480,16.99,11.76,1193404.80000003,1624366.6199997105,98938.0,306439.93999991653,181782.13000000623,123880.97,-762442.9800003497,0.26531068460379786,0.9749507292077256,1.3611195631186246
